id,Y18
4752,20.915966
4753,20.739752
4754,20.71512
4755,20.704576
4756,20.558544
4757,20.496418
4758,20.445667
4759,20.405647
4760,20.295588
4761,20.104021
4762,20.074545
4763,20.046528
4764,19.994392
4765,19.999195
4766,19.929424
4767,19.918608
4768,19.816357
4769,19.69192
4770,19.675356
4771,19.607424
4772,19.548916
4773,19.45866
4774,19.453753
4775,19.454584
4776,19.477991
4777,19.386223
4778,19.36026
4779,19.285742
4780,19.169138
4781,19.158571
4782,19.1232
4783,19.104816
4784,19.131632
4785,19.07516
4786,19.130255
4787,19.306244
4788,19.579704
4789,19.912233
4790,20.152843
4791,20.620184
4792,21.191633
4793,21.545208
4794,22.235996
4795,23.005821
4796,23.492947
4797,24.260458
4798,25.183424
4799,25.667707
4800,26.411758
4801,27.06963
4802,27.809399
4803,28.33002
4804,28.320133
4805,31.657042
4806,32.240284
4807,32.840656
4808,33.07601
4809,33.76065
4810,34.25472
4811,34.797928
4812,35.22
4813,35.702557
4814,35.827785
4815,36.184544
4816,36.522495
4817,36.800743
4818,37.28798
4819,37.329838
4820,37.620983
4821,37.90158
4822,38.013294
4823,38.30421
4824,38.56868
4825,38.629612
4826,38.822567
4827,39.02708
4828,38.9698
4829,38.990387
4830,39.09184
4831,39.34568
4832,39.039185
4833,39.232395
4834,38.841496
4835,38.10575
4836,38.462883
4837,36.67267
4838,35.484497
4839,37.961845
4840,38.328014
4841,37.76055
4842,38.03666
4843,37.443466
4844,37.318134
4845,36.151237
4846,36.594948
4847,34.01862
4848,34.17859
4849,34.4502
4850,32.56865
4851,32.18117
4852,32.362175
4853,31.383772
4854,34.45985
4855,32.67729
4856,31.841131
4857,31.541962
4858,31.748983
4859,31.256165
4860,30.583046
4861,30.621008
4862,30.595654
4863,29.104193
4864,29.077251
4865,28.825388
4866,25.46054
4867,28.219637
4868,27.725878
4869,27.094828
4870,26.382893
4871,25.748959
4872,25.380228
4873,24.996094
4874,24.735044
4875,24.556417
4876,24.3281
4877,24.091793
4878,23.9831
4879,23.662428
4880,23.51246
4881,23.231487
4882,23.07513
4883,22.886585
4884,22.748693
4885,22.556377
4886,22.454784
4887,22.438383
4888,22.341738
4889,22.112862
4890,21.985172
4891,21.742754
4892,21.721628
4893,21.535318
4894,21.283873
4895,21.19289
4896,21.097292
4897,20.969004
4898,20.851608
4899,20.780544
4900,20.606295
4901,20.548471
4902,20.48835
4903,20.469728
4904,20.306051
4905,20.20868
4906,20.035938
4907,19.991589
4908,19.89443
4909,19.84541
4910,19.707273
4911,19.628208
4912,19.572918
4913,19.478977
4914,19.383179
4915,19.332792
4916,19.31453
4917,19.216328
4918,19.105715
4919,18.974861
4920,18.948288
4921,18.942476
4922,18.874289
4923,18.858826
4924,18.763098
4925,18.677319
4926,18.584478
4927,18.512968
4928,18.513203
4929,18.568014
4930,18.631086
4931,18.76254
4932,18.789799
4933,18.983858
4934,19.176208
4935,19.351704
4936,19.88363
4937,20.368824
4938,20.70224
4939,21.358591
4940,22.043531
4941,22.71332
4942,23.85024
4943,24.19477
4944,25.513704
4945,26.541584
4946,27.035414
4947,27.929876
4948,28.675484
4949,29.459541
4950,29.215057
4951,32.74684
4952,32.777214
4953,33.404385
4954,33.890682
4955,34.321884
4956,34.705273
4957,35.261547
4958,35.54841
4959,36.04578
4960,36.381706
4961,36.748135
4962,37.01791
4963,37.37743
4964,37.562565
4965,37.953476
4966,37.97935
4967,38.528706
4968,38.596626
4969,38.879787
4970,39.157227
4971,38.613186
4972,37.62413
4973,38.04346
4974,38.885944
4975,37.564716
4976,37.970345
4977,37.235218
4978,36.793953
4979,38.713257
4980,38.77142
4981,38.945457
4982,38.63308
4983,37.72509
4984,38.318527
4985,36.80489
4986,35.915043
4987,37.12949
4988,36.83463
4989,35.385456
4990,33.77085
4991,32.89691
4992,31.80633
4993,31.62204
4994,32.952175
4995,33.9829
4996,33.770977
4997,30.584404
4998,29.959223
4999,33.04215
5000,32.143192
5001,27.687553
